神	gods	shin, jin	kami, kan, koo	JDIC_Audio_All/かみ - 神.mp3	シン,ジン	かみ,かん-	gods; mind; soul
身	somebody	shin	mi	JDIC_Audio_All/むくろ - 身.mp3	シン	み	somebody; person; one's station in life
進	progress	shin	susu(mu), susu(meru)	JDIC_Audio_All/すすみ - 進み.mp3	シン	すすむ,すすめる	advance; proceed; progress; promote
所	place	sho	tokoro	JDIC_Audio_All/ところ - 所.mp3	ショ	ところ,-ところ	place
暑	hot	sho	atsu(i)	JDIC_Audio_All/あつい - 暑い.mp3	ショ	あつい	sultry; hot; summer heat
助	help	jo	tasu(keru), tasu(karu), suke	JDIC_Audio_All/じょ - 助.mp3	ジョ	たすける,たすかる	help; rescue; assist
勝	win	shoo	ka(tsu), masa(ru)	JDIC_Audio_All/かち - 勝ち.mp3	ショウ	かつ,-がち	victory; win; prevail; excel
商	make a deal	shoo	akina(u)	JDIC_Audio_All/しょう - 商.mp3	ショウ	あきなう	make a deal; selling; dealing in; merchant
昭	bright	shoo	shoo	sounds/common/shou.wav	ショウ	ショウ	shining; bright
消	turn off	shoo	ki(eru), ke(su)	JDIC_Audio_All/けす - 消す.mp3	ショウ	きえる,けす	extinguish; blow out; turn off; neutralize; cancel
章	chapter	shoo	shoo	JDIC_Audio_All/しょう - 章.mp3	ショウ	ショウ	badge; chapter; composition; poem; design
乗	ride	joo	no(ru), no(seru)	JDIC_Audio_All/のり - 乗り.mp3	ジョウ,ショウ	のる,-のり	ride; power; multiplication; record; counter for vehicles; board; mount; join
集	gather	shuu	atsu(maru), atsu(meru), tsudo(u)	JDIC_Audio_All/しゅう - 集.mp3	シュウ	あつまる,あつめる	gather; meet; congregate; swarm; flock
住	live	juu	su(mu), su(mau)	JDIC_Audio_All/じゅう - 住.mp3	ジュウ,ヂュウ	すむ,すまう	dwell; reside; live; inhabit
重	heavy	juu, choo	e, omo(i), kasa(neru), kasa(naru)	JDIC_Audio_All/おも - 重.mp3	ジュウ,チョウ	え,おもい	heavy; heap up; pile up; nest of boxes; -fold
宿	inn	shuku	yado, yado(ru), yado(su)	JDIC_Audio_All/やど - 宿.mp3	シュク	やど,やどる	inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling
酒	sake	shu	sake, saka	JDIC_Audio_All/さけ - 酒.mp3	シュ	さけ,さか-	sake; alcohol
受	accept	ju	u(keru), u(karu)	JDIC_Audio_All/うけ - 受け.mp3	ジュ	うける,-うけ	accept; undergo; answer (phone); take; get; catch; receive
州	state	shuu	su	JDIC_Audio_All/す - 州.mp3	シュウ,ス	す	state; province
拾	pick up	shuu, juu	hiro(u)	JDIC_Audio_All/じゅう - 拾.mp3	シュウ,ジュウ	ひろう	pick up; gather; find; go on foot; ten
終	end	shuu	o(waru), o(eru)	JDIC_Audio_All/おわり - 終.mp3	シュウ	おわる,-おわる	end; finish
習	learn	shuu	nara(u)	JDIC_Audio_All/ならう - 習う.mp3	シュウ,ジュ	ならう,ならい	learn
取	take	shu	to(ru)	JDIC_Audio_All/とれる - 取れる.mp3	シュ	とる,とり	take; fetch; take up
守	protect	shu, su	mamo(ru), mo(ri)	JDIC_Audio_All/まもり - 守.mp3	シュ,ス	まもる,まもり	guard; protect; defend; obey
主	lord	shu, su	nushi, omo	JDIC_Audio_All/あるじ - 主.mp3	シュ,ス	ぬし,おも	lord; chief; master; main thing; principal
者	person	sha	mono	JDIC_Audio_All/もの - 者.mp3	シャ	もの	someone; person
写	copy	sha	utsu(su), utsu(ru)	JDIC_Audio_All/うつし - 写し.mp3	シャ,ジャ	うつす,うつる	copy; be photographed; describe
式	style	shiki	shiki	JDIC_Audio_All/しき - 式.mp3	シキ	シキ	style; ceremony; rite; function; method; system; form; expression
実	reality	jitsu	mi, mino(ru)	JDIC_Audio_All/まこと - 実.mp3	ジツ,シツ	み,みのる	reality; truth
詩	poem	shi	uta	JDIC_Audio_All/し - 詩.mp3	シ	うた	poem; poetry
歯	tooth	shi	ha	JDIC_Audio_All/は - 歯.mp3	シ	よわい,は	tooth; cog
事	matter	ji, zu	koto	JDIC_Audio_All/こと - 事.mp3	ジ,ズ	こと,つかう	matter; thing; fact; business; reason; possibly
持	hold	ji	mo(tsu)	JDIC_Audio_All/もつ - 持つ.mp3	ジ	もつ,-もち	hold; have
次	next	ji, shi	tsu(gu), tsugi	JDIC_Audio_All/つぎ - 次.mp3	ジ,シ	つぐ,つぎ	next; order; sequence
指	finger	shi	yubi, sa(su)	JDIC_Audio_All/ゆび - 指.mp3	シ	ゆび,さす	finger; point to; indicate; put into; play (chess); measure (ruler)
死	death	shi	shi(nu)	JDIC_Audio_All/し - 死.mp3	シ	しぬ,しに-	death; die
始	begin	shi	haji(meru), haji(maru)	JDIC_Audio_All/はじめ - 始め.mp3	シ	はじめる,-はじめる	commence; begin
皿	plate	bei	sara	JDIC_Audio_All/さら - 皿.mp3	ベイ	さら	dish; a helping; plate
仕	official	shi, ji	tsuka(eru)	JDIC_Audio_All/し - 仕.mp3	シ,ジ	つかえる	attend; doing; official; serve
使	use	shi	tsuka(u)	JDIC_Audio_All/つかい - 使い.mp3	シ	つかう,つかい	use
坂	hill	han	saka	JDIC_Audio_All/さか - 坂.mp3	ハン	さか	slope; incline; hill
祭	ritual	sai	matsu(ru), matsu(ri)	JDIC_Audio_All/まつり - 祭.mp3	サイ	まつる,まつり	ritual; offer prayers; celebrate; deify; enshrine; worship
号	number	goo	sakebu	JDIC_Audio_All/ごう - 号.mp3	ゴウ	さけぶ,よびな	nickname; number; item; title; pseudonym; name; call
根	root	kon	ne	JDIC_Audio_All/ね - 根.mp3	コン	ね,-ね	root; radical; head (pimple)
港	harbor	koo	minato	JDIC_Audio_All/みなと - 港.mp3	コウ	みなと	harbor
